ISim log file
Running: D:\verilog\P6\test_isim_beh.exe -intstyle ise -gui -tclbatch isim.cmd -wdb D:/verilog/P6/test_isim_beh.wdb 
ISim P.20131013 (signature 0x7708f090)
This is a Full version of ISim.
Time resolution is 1 ps
# onerror resume
# wave add /
# run 1000 ns
Simulator is doing circuit initialization process.
Finished circuit initialization process.
                 145@00003000: $ 5 <= 00000d5f
                 155@00003004: $ 6 <= 00000d5f
                 195@00003000: $ 5 <= 00000d5f
                 205@00003004: $ 6 <= 00000d5f
                 245@00003000: $ 5 <= 00000d5f
                 255@00003004: $ 6 <= 00000d5f
                 295@00003000: $ 5 <= 00000d5f
                 305@00003004: $ 6 <= 00000d5f
                 345@00003000: $ 5 <= 00000d5f
                 355@00003004: $ 6 <= 00000d5f
                 395@00003000: $ 5 <= 00000d5f
                 405@00003004: $ 6 <= 00000d5f
                 445@00003000: $ 5 <= 00000d5f
                 455@00003004: $ 6 <= 00000d5f
                 495@00003000: $ 5 <= 00000d5f
                 505@00003004: $ 6 <= 00000d5f
                 545@00003000: $ 5 <= 00000d5f
                 555@00003004: $ 6 <= 00000d5f
                 595@00003000: $ 5 <= 00000d5f
                 605@00003004: $ 6 <= 00000d5f
                 645@00003000: $ 5 <= 00000d5f
                 655@00003004: $ 6 <= 00000d5f
                 695@00003000: $ 5 <= 00000d5f
                 705@00003004: $ 6 <= 00000d5f
                 745@00003000: $ 5 <= 00000d5f
                 755@00003004: $ 6 <= 00000d5f
                 795@00003000: $ 5 <= 00000d5f
                 805@00003004: $ 6 <= 00000d5f
                 845@00003000: $ 5 <= 00000d5f
                 855@00003004: $ 6 <= 00000d5f
                 895@00003000: $ 5 <= 00000d5f
                 905@00003004: $ 6 <= 00000d5f
                 945@00003000: $ 5 <= 00000d5f
                 955@00003004: $ 6 <= 00000d5f
                 995@00003000: $ 5 <= 00000d5f
