ISim log file
Running: D:\verilog\p4\P4\test_isim_beh.exe -intstyle ise -gui -tclbatch isim.cmd -wdb D:/verilog/p4/P4/test_isim_beh.wdb 
ISim P.20131013 (signature 0x7708f090)
This is a Full version of ISim.
Time resolution is 1 ps
# onerror resume
# wave add /
# run 1000 ns
Simulator is doing circuit initialization process.
Finished circuit initialization process.
@00003000: $15 <= 00000c8d
@00003004: $15 <= 00000c8d
@00003000: $15 <= 00000c8d
@00003004: $15 <= 00000c8d
@00003000: $15 <= 00000c8d
@00003004: $15 <= 00000c8d
@00003000: $15 <= 00000c8d
@00003004: $15 <= 00000c8d
@00003000: $15 <= 00000c8d
@00003004: $15 <= 00000c8d
@00003000: $15 <= 00000c8d
@00003004: $15 <= 00000c8d
@00003000: $15 <= 00000c8d
@00003004: $15 <= 00000c8d
@00003000: $15 <= 00000c8d
@00003004: $15 <= 00000c8d
@00003000: $15 <= 00000c8d
@00003004: $15 <= 00000c8d
@00003000: $15 <= 00000c8d
@00003004: $15 <= 00000c8d
@00003000: $15 <= 00000c8d
@00003004: $15 <= 00000c8d
@00003000: $15 <= 00000c8d
@00003004: $15 <= 00000c8d
@00003000: $15 <= 00000c8d
@00003004: $15 <= 00000c8d
@00003000: $15 <= 00000c8d
@00003004: $15 <= 00000c8d
@00003000: $15 <= 00000c8d
@00003004: $15 <= 00000c8d
@00003000: $15 <= 00000c8d
@00003004: $15 <= 00000c8d
@00003000: $15 <= 00000c8d
@00003004: $15 <= 00000c8d
@00003000: $15 <= 00000c8d
@00003004: $15 <= 00000c8d
@00003000: $15 <= 00000c8d
@00003004: $15 <= 00000c8d
@00003000: $15 <= 00000c8d
@00003004: $15 <= 00000c8d
@00003000: $15 <= 00000c8d
@00003004: $15 <= 00000c8d
@00003000: $15 <= 00000c8d
@00003004: $15 <= 00000c8d
@00003000: $15 <= 00000c8d
@00003004: $15 <= 00000c8d
@00003000: $15 <= 00000c8d
@00003004: $15 <= 00000c8d
@00003000: $15 <= 00000c8d
@00003004: $15 <= 00000c8d
@00003000: $15 <= 00000c8d
@00003004: $15 <= 00000c8d
@00003000: $15 <= 00000c8d
@00003004: $15 <= 00000c8d
@00003000: $15 <= 00000c8d
@00003004: $15 <= 00000c8d
@00003000: $15 <= 00000c8d
@00003004: $15 <= 00000c8d
@00003000: $15 <= 00000c8d
@00003004: $15 <= 00000c8d
@00003000: $15 <= 00000c8d
@00003004: $15 <= 00000c8d
@00003000: $15 <= 00000c8d
@00003004: $15 <= 00000c8d
@00003000: $15 <= 00000c8d
@00003004: $15 <= 00000c8d
@00003000: $15 <= 00000c8d
